"offense_category","offense_type","uncertainty_score","cost","description"
"traffic offense, minor","criminal traffic",0.7,0.0005185,"Crossing Diagonally"
"habitual offender","criminal traffic",0.05,0.0005175,"Revocation Of Habitual Offender's License"
"commercialized vice, attempted","public order",0.05,0.000521,"Criminal Attempt Patronizing Prostitutes"
"extortion/threat","violent",0.25,0.0009025,"Intimidates or intends to intimidate person to refrain from reporting"
"offense against morals/decency","public order",0.1,0.0005245,"Abuse Of Corpse"
"destruction of property, conspiracy","property",0.1,0.00026625,"Criminal Conspiracy Engaging Criminal Mischief - Damage Property"
"distribution other controlled substances, conspiracy","drug",0.2,0.00065,"Criminal Conspiracy Engaging Manuf Etc Controlled Substance"
"rape","violent",0.05,0.00038325,"Rape Substantially Impaired Person"
"rape","violent",0.3,0.00115125,"IDSI Person Substantially Impaired"
"public order offense, other","public order",0.05,0.0002655,"Loitering - Breach of the peace"
"rape, attempted","violent",0,0.00038775,"Criminal Attempt Rape Forcible Compulsion"
"sexual assault","violent",0.25,0.0008985,"Agg. Ind. Assault - Comp. Suffers Mental Dis."
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed 35 MPH In Urban Dist 24 MPH"
"statutory rape","violent",0.05,0.0003905,"Statutory Sexual Assault:  8-11 Years Older"
"traffic offense, minor","criminal traffic",0.05,0.000649,"Exceed 65 OR 70 MPH For All Vehicles By 20 MPH"
"traffic offense, minor","criminal traffic",0.25,0.000519,"Viol Rules Pa Turnpike Comm"
"traffic offense, minor","criminal traffic",0.05,0.000521,"Exceed 65 OR 70 MPH For All Vehicles By 25 MPH"
"not known/missing","not known/missing",0,0.000394,"Emission inspection deadline"
"forgery/fraud, conspiracy","property",0.05,0.00052325,"Criminal Conspiracy Engaging Identity Theft"
"forgery/fraud, conspiracy","property",0.05,0.000651,"Conspiracy Forgery - Alter Writing"
"forgery/fraud, conspiracy","property",0.15,0.00090725,"Conspiracy Secure Execution Docs By Deception"
"other property offense","property",0.1,0.00025875,"Unauthorized Sale/Transfer Of Tickets"
"other property offense, conspiracy","property",0.25,0.00051925,"Conspiracy Unauthorized Sale/Transfer Of Tickets"
"weapons offense","violent",0.2,0.00038825,"Unlawful Device Making Equipment Produces/Traffics"
"receiving stolen property, attempted","property",0.1,0.000265,"Criminal Attempt Receiving Stolen Property"
"attempted murder","violent",0.05,0.00051525,"Criminal Attempt Murder Of The Third Degree"
"unauthorized use of vehicle, conspiracy","property",0.05,0.0002675,"Conspiracy Unauth Use Motor/Other Vehicles"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Exceed 35 MPH In Urban Dist By 12 MPH"
"child molestation","violent",0.1,0.00041755,"Aggrav Indec Asslt/Person Less 16 Yrs Age"
"rape","violent",0.1,0.00063875,"IDSI Person Unconscious"
"traffic offense, minor","criminal traffic",0.05,0.000521,"Exceed 65 OR 70 MPH For All Vehicles By 42 MPH"
"traffic offense, minor","criminal traffic",0.05,0.000521,"Exceed 65 OR 70 MPH For All Vehicles By 21 MPH"
"obstruction/resisting","public order",0.1,0.0005195,"Obstruc Of Telep Line In Emerg"
"extortion/threat, conspiracy","violent",0.05,0.000521,"Conspiracy Ethnic Intimidation"
"obstruction/resisting","public order",0.25,0.00051825,"Drive Over Fire Hose"
"not known/missing","not known/missing",0.95,0.00065,"No Title Cert"
"attempted murder","violent",0.05,0.00038725,"Criminal Attempt Homicide By Vehicle"
"not known/missing","not known/missing",0.95,0.00039525,"Transfer Ownership / Duty Of Transferee"
"human trafficking, unspecified - child, attempted","violent",0.15,0.00052525,"Criminal Attempt Dealing In Infant Children"
"rape, attempted","violent",0.1,0.0006435,"Criminal Attempt IDSI Person Unconscious"
"driving under the influence of alcohol","dui offense",0.05,0.0007875,"Incapable of Safely Operating Watercraft After Imbibing Alcohol or Refusal of Test- 1st Offense"
"traffic offense, minor","criminal traffic",0.2,0.00077525,"Reckless Operation Of A Watercraft"
"traffic offense, minor","criminal traffic",0.2,0.00077525,"Negligent Operation Of A Watercraft"
"public order offense, other","public order",0.8,0.00052075,"Viol Rules/Regs Equip Req"
"not known/missing","not known/missing",0.95,0.000394,"Discharge Restricted"
"not known/missing","not known/missing",0.95,0.00039425,"Out Of Service Criteria"
"traffic offense, minor","criminal traffic",0.2,0.0005185,"Improp Fastening Load"
"traffic offense, minor","criminal traffic",0.05,0.0005195,"Violation Of Vehicle Equipment Stds-Penalty"
"extortion/threat","violent",0.15,0.000645,"Coerce/Threat To Commit Crime"
"destruction of property, attempted","property",0.05,0.0002655,"Criminal Attempt Criminal Mischief - Damage Property"
"traffic offense, minor","criminal traffic",0.05,0.00064825,"Exceed 25 MPH Residence Dist. By 21 MPH"
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed Max Speed Lim Estb By 17 MPH"
"driving under the influence of alcohol","dui offense",0.05,0.00052875,"Operating Watercraft With Highest Rate of Alcohol - 1st Offense"
"driving under the influence of alcohol","dui offense",0.05,0.00081355,"Operating Watercraft With High Rate of Alcohol - 1st Offense"
"driving under the influence of alcohol","dui offense",0.05,0.000787,"Alcohol in Breath or Blood Between .08% and .10% While Operating Watercraft - 1st Offense"
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed Max Speed Limit Estb By 53 MPH"
"traffic offense, minor","criminal traffic",0.05,0.00039075,"Fail to Operate Motorcycle Lamps"
"child molestation","violent",0.1,0.0007725,"Incest of Minor - Complainant 13-18 Years"
"offense against morals/decency","public order",0.2,0.00052575,"Criminal Solicitation Display Obscene/Sexual Materials"
"criminal trespass","property",0.1,0.00038675,"Travel On Cultivated Land"
"burglary, conspiracy","property",0.05,0.0003925,"Conspiracy Burglary - Overnight Accommodations; Person Present"
"criminal trespass, conspiracy","public order",0.25,0.00090625,"Conspiracy Loitering And Prowling At Night Time"
"arson, attempted","violent",0.1,0.0005185,"Criminal Attempt Arson-Danger Of Death Or Bodily Inj"
"not known/missing","not known/missing",0.95,0.00039425,"General Boating Regulations"
"obstruction/resisting","violent",0.35,0.00090225,"Intim Wit/Vict - False/Misl to Atty"
"weapons offense, conspiracy","violent",0.15,0.00103375,"Criminal Conspiracy Engaging Posses Firearm W/Manufacturer Number Altered, Etc"
"contributing to the delinquency of a minor, conspiracy","public order",0.05,0.000918,"Criminal Conspiracy Engaging Corruption of Minors"
"weapons offense, conspiracy","violent",0.35,0.0005215,"Criminal Conspiracy Engaging Make Repairs/Sell/Etc Offens Weap"
"forgery/fraud","property",0.2,0.00064725,"Misrepresentation of Member or Veteran of Military"
"traffic offense, minor","criminal traffic",0.05,0.000521,"Exceed 65 OR 70 MPH For All Vehicles By 23 MPH"
"destruction of property","property",0.05,0.0003885,"Agricultural Vandalism"
"traffic offense, minor","criminal traffic",0.05,0.000521,"Exceed 65 OR 70 MPH For All Vehicles By 11 MPH"
"criminal trespass, attempted","property",0.1,0.00039175,"Criminal Attempt Crim Tres-Break Into Structure"
"traffic offense, minor","criminal traffic",0.05,0.000521,"Exceed 65 OR 70 MPH For All Vehicles By 45 MPH"
"forgery/fraud","property",0.2,0.0003925,"Violations Concerning Licenses - Exh. False Id."
"offense against morals/decency","public order",0.12,0.00039675,"Design/Copy Obscene Material"
"weapons offense","violent",0.15,0.00054505,"Poss. Firearm In Ct. Facility For Use In Crime"
"offense against morals/decency","public order",0.2,0.000784,"Transmission of Sexually Explicit Images by Minor - Transmits, Distribute etc Electronic Communicati"
"theft, value unknown, attempted","property",0.2,0.00039525,"Criminal Attempt Theft From A Motor Vehicle"
"human trafficking, labor - child","violent",0.15,0.0006515,"Unlawful Restraint of Minor/Not Parent - Involuntary Servitude"
"forgery/fraud","criminal traffic",0.64,0.00090525,"Submit Claim Serv Not Rend'd To Pt"
"forgery/fraud","property",0.15,0.00039075,"Submit Claim W/False Info"
"forgery/fraud","property",0.2,0.00090325,"Submit Claim Serv Not Rend'd By Prov"
"traffic offense, minor","criminal traffic",0.15,0.00064925,"Periods For Requiring Lighted Lamps - Any Time Windshield Wipers Are On"
"traffic offense, minor","criminal traffic",0.25,0.00051925,"Refuse To Surrender Regist Plates"
"traffic offense, minor","criminal traffic",0.15,0.00064725,"Driving While Operating Privilege Sus/Revoke"
"forgery/fraud","property",0.1,0.0003905,"Unentitled Reimbursement"
"statutory rape, attempted","violent",0.12,0.000779,"Criminal Solicitation Statutory Sexual Assault:  11 Years Older"
"forgery/fraud","property",0.35,0.00064725,"Recipient Prohibited Acts-False Stmt"
"traffic offense, minor","criminal traffic",0.05,0.0005205,"No Jaywalking; Excpt On ""walk"" Sig At Intersection"
"traffic offense, minor","criminal traffic",0.05,0.00051875,"Fail To Obtain Emission Cert"
"aggravated assault","violent",0,0.00026025,"Aggravated Assault"
"weapons offense","public order",0.2,0.0009015,"Deliver Firearm After 48 Hours Elapsed"
"armed robbery, conspiracy","violent",0.1,0.00039075,"Criminal Conspiracy Aiding Robbery-Threat Immed Ser Injury"
"traffic offense, minor","criminal traffic",0.2,0.000519,"Fail To Comply License Restrict"
"kidnapping","violent",0.2,0.0006455,"Unlawful Restraint of Minor/Not Parent - Risk of Bodily Injury"
"forgery/fraud, conspiracy","property",0.1,0.000651,"Conspiracy Unentitled Reimbursement"
"public order offense, other","public order",0.05,0.00039175,"Panhandling"
"traffic offense, minor","criminal traffic",0.2,0.0007755,"Fail Obtain Insp Of Veh Transp Sch Ch"
"extortion/threat","violent",0.1,0.0003885,"Terroristic Threats"
"theft, value unknown","property",0.85,0.000518,"Retail Recorded Device"
"weapons offense","violent",0.1,0.00064425,"Person Not To Possess/Use Firearms - Fugitive"
"statutory rape","violent",0.05,0.0005165,"Statutory Sexual Assault"
"involuntary manslaughter","violent",0.8,0.00090525,"Accidents Involving Death/Personal Injury"
"disorderly conduct offense","public order",0.1,0.00039375,"Loud, Disturbing, Unnecessary Noise"
"not known/missing","not known/missing",0.95,0.00039525,"Cross Bet Contro Inters Urban Area"
"simple assault, conspiracy","violent",0.05,0.00038925,"Criminal Conspiracy Aiding Simple Assault"
"public order offense, other","public order",0.05,0.00029355,"Gambling prohibited in public places"
"commercialized vice","public order",0.35,0.0012865,"Animal Fighting - Owns/Possess/Sell Animal for Fighting"
"public order offense, other","public order",0.15,0.00064875,"Animal Fighting Paraphernalia"
"offense against morals/decency","public order",0.15,0.000909,"Animal Fighting - Amusement or Gain"
"offense against morals/decency, conspiracy","violent",0.25,0.000785,"Conspiracy Animal Fighting - Owns/Possess/Sell Animal for Fighting"
"public order offense, other","public order",0.25,0.00064925,"Animal Fighting - Knowingly Permit Under Control"
"kidnapping","violent",0,0.000388,"Kidnapping of Minor - Ransom/Hostage"
"weapons offense","public order",0.1,0.0006743,"Persons Not To Possess/Own Firearm"
"vehicular manslaughter","criminal traffic",0.05,0.000777,"Homicide by Vehicle While DUI"
"destruction of property","property",0.7,0.0007735,"Remove/Render Inop Reg'd Eqmt"
"forgery/fraud","property",0.25,0.000648,"Rec'd Sus'd Fict Alt'd Etc Drivers Lic"
"traffic offense, minor","criminal traffic",0.05,0.00051875,"Fail To Yield In Constr"
"forgery/fraud","property",0.7,0.00090325,"Use Of School Bus/School Veh Plates"
"forgery/fraud","property",0.9,0.0010305,"Exhibit Another Dr Lic"
"traffic offense, minor","criminal traffic",0.05,0.00051875,"Meeting/Overtaking School Bus"
"other court offense","public order",0.2,0.0009015,"False Swearing-Mislead Public Servant"
"forgery/fraud","property",0.1,0.0003915,"Unsworn Fals Auth Forged Doc"
"liquor law violation","public order",0.05,0.00052225,"No Beer, Drugs, Alcoholic Bev. In City Parks"
"not known/missing","criminal traffic",0.75,0.00179925,"Accident/Serious Bodily Injury"
"public order offense, other","public order",0.05,0.00039425,"Loud,disturbing And Unnecessary Noise Prohibited"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Exceed 55 MPH In Other Loc By 42 MPH"
"forgery/fraud","property",0.35,0.00064675,"Display Unauth Cert Of Inspect"
"forgery/fraud","property",0.1,0.00051825,"Washing Vehicle Titles"
"forgery/fraud","property",0.2,0.000391,"Make False Appli For Title Reg"
"theft, value unknown, conspiracy","property",0.5,0.0006525,"Criminal Conspiracy Aiding Theft Property Lost Etc By Mistake"
"public order offense, other","public order",0.2,0.00052125,"Lic To Engage In Business - Lic Required"
"forgery/fraud","property",0.3,0.0006465,"Make False Promise Of Character"
"traffic offense, minor","criminal traffic",0.2,0.00064625,"License suspended or revoked"
"forgery/fraud","property",0.1,0.000391,"Forgery-Utters Forged Writing"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 25 MPH Residence Dist. By 12 MPH"
"traffic offense, minor","criminal traffic",0.35,0.0005185,"Viol Use Limited Access Hwy"
"simple assault","violent",0.05,0.00038725,"Simple Assault - Grading, Victim Under 12 Defendant 18 or older"
"driving under the influence of drugs","dui offense",0.05,0.00027375,"DUI: Controlled Substance - Schedule 2 or 3 - 3rd Offense"
"obstruction/resisting, conspiracy","violent",0.12,0.0011625,"Conspiracy Intim Witness/Victim False/Misleading Testimony"
"extortion/threat, conspiracy","violent",0.15,0.0010345,"Conspiracy Intimidate Witness/Victim - Withhold Testimony"
"obstruction/resisting, conspiracy","violent",0.3,0.00193075,"Conspiracy Intim Witness/Victim Elude/Evade/Ignore"
"obstruction/resisting, conspiracy","violent",0.25,0.0011625,"Conspiracy Intim Wit/Vic - ABS Fr Lgl Pro"
"obstruction/resisting, conspiracy","violent",0.05,0.00064975,"Conspiracy Retaliation Against Witness or Victim"
"not known/missing","not known/missing",0.9,0.00154725,"Criminal Conspiracy Engaging Conspiracy"
"forgery/fraud","property",0.6,0.0006475,"Fraudulent Assign Cert Title Sec Int Cert"
"commercialized vice","public order",0.2,0.00090125,"Animal Fighting - Pay Admission/Attends"
"bribery/conflict of interest, conspiracy","public order",0.35,0.001041,"Conspiracy Corrupt Organizations - Employee"
"traffic offense, minor","criminal traffic",0.1,0.000519,"Improp Use Handicapped Veh"
"forgery/fraud","property",0.15,0.0005195,"Dec Bus Pract - False/Mis Stat Pub"
"disorderly conduct offense","public order",0.1,0.0005225,"Prohbtd Condct; Unreasonable Noise/Lewd Language"
"distribution, drug unspecified, conspiracy","drug",0.15,0.000649,"Conspiracy Manuf Etc Controlled Substance"
"contempt of court/violate court order","public order",0.12,0.00078825,"Intentionally/Knowingly Fails to Relinquish Firearm/Weapon to Sheriff Required by Order"
"traffic offense, minor","criminal traffic",0.05,0.00039075,"Illegal Park Between Divided Hwy"
"traffic offense, minor","criminal traffic",0.1,0.00051975,"Safety Restraints - child under 4 years"
"traffic offense, minor","criminal traffic",0.2,0.00039025,"Improp Wiper"
"other property offense","property",0.6,0.00064225,"Disruption of Service"
"forgery/fraud","property",0.1,0.000647,"Carry False Identification Card (Minor)"
"destruction of property","property",0.7,0.00051625,"Violate Safety Glass"
"bribery/conflict of interest","public order",0.05,0.0005255,"Corrupt Employee, Agent, Fiduciary"
"possession/use, drug unspecified, attempted","drug",0.78,0.0012945,"Loiter/Prowl In Public W Intent; Controlled Subst"
"unarmed robbery, conspiracy","violent",0.2,0.000777,"Criminal Conspiracy Engaging Robbery-Inflict Threat Imm Bod Inj"
"aggravated assault, attempted","violent",0.05,0.0002675,"Criminal Attempt Aggravated Assault - Attempts to cause or causes BI to designated individuals"
"traffic offense, minor","criminal traffic",0.6,0.00064675,"Operation On Streets And Highways"
"traffic offense, minor","criminal traffic",0.1,0.0006485,"Unlawful Operate Snow/Atv In Careless Way"
"traffic offense, minor","criminal traffic",0.2,0.00039,"Traffic Control Signals"
"weapons offense","public order",0.35,0.001157,"Possess Explosive/Incen Material"
"arson, attempted","property",0.1,0.000518,"Criminal Attempt Arson-Inhabited Building Or Struct"
"traffic offense, minor","criminal traffic",0.05,0.0003905,"Illegal Park On Sidewalk"
"distribution, drug unspecified","drug",0.2,0.00051675,"Sell Controlled Substance W/O Label"
"burglary, conspiracy","property",0.05,0.000521,"Conspiracy Burglary - Not Adapted for Overnight Accommodation, Person Present"
"traffic offense, minor","criminal traffic",0.05,0.00041905,"Pass When Prohibited"
"weapons offense, conspiracy","violent",0.35,0.00064725,"Conspiracy Uses Incapacitation Device"
"family or custody related offense, attempted","public order",0.1,0.000526,"Criminal Attempt Interference W/Custody Of Children"
"burglary, attempted","property",0.05,0.0002645,"Criminal Attempt Burglary - Overnight Accommodation, No Person Present"
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed Max Speed Lim Estb By 27 MPH"
"weapons offense","public order",0.15,0.0007745,"Person Not To Possess/Use Firearm - Incompetent"
"violent offense, other","violent",0.6,0.00090075,"Neg Cond - Dangerous Dog Attack"
"public order offense, other","public order",0.2,0.00052225,"Dogs Outside Dwelling/Enclosure Not Physical Restraint"
"public order offense, other","public order",0.2,0.0003925,"Dog W/O Muzzle"
"sexual assault","violent",0.05,0.0003855,"Aggrav Indec Asslt-W/O Cons"
"unarmed robbery, conspiracy","violent",0.4,0.000647,"Conspiracy Robbery Of Motor Vehicle"
"aggravated assault, conspiracy","violent",0.05,0.0003945,"Conspiracy Strangulation - Applying Pressure to Throat or Neck"
"simple assault, conspiracy","violent",0.15,0.00051775,"Conspiracy Harassment - Subject Other to Physical Contact"
"other drug offense","drug",0.05,0.0007745,"Possessing phenylpropanolamine, etc., or a precursor substance with intent to unlawfully manufacture"
"distribution of amphetamines","drug",0.1,0.0007745,"Operating a methamphetamine lab"
"distribution of amphetamines","drug",0.1,0.0006465,"Operation of methamphetamine lab"
"other property offense","property",0.2,0.0006435,"Deposits, stores, disposes chemical waste"
"destruction of property","property",0.7,0.0011565,"Causing Catastrophe"
"not known/missing","not known/missing",0.95,0.000522,"Image Display Device"
"traffic offense, minor","criminal traffic",0.7,0.00054705,"Off-Road Lighting"
"public order offense, other","public order",0.8,0.00039225,"Conduct in Borough Parks"
"extortion/threat","violent",0.05,0.000518,"Bomb Threats - Threatens Plcmnt Of Bomb"
"petty theft (=<$500), attempted","property",0.2,0.000654,"Criminal Attempt Retail Theft - Trans Mdse Fr Cont"
"theft, value unknown, conspiracy","property",0.2,0.00039575,"Conspiracy Retail Theft - Trans Mdse Fr Cont"
"traffic offense, minor","criminal traffic",0.15,0.00077625,"Exceed 55 MPH In Other Loc By 52 MPH"
"unarmed robbery, attempted","violent",0.35,0.00090425,"Criminal Attempt Robbery-Inflict Threat Imm Bod Inj"
"extortion/threat, conspiracy","violent",0.05,0.00052325,"Conspiracy Harassment - Comm. Lewd, Threatening, Etc. Language"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 55 MPH In Other Loc By 7 MPH"
"contempt of court/violate court order","public order",0.25,0.0009125,"Fail To Surrender Lic"
"commercialized vice","public order",0.05,0.00038925,"Criminal Solicitation Patronizing Prostitutes"
"child molestation","violent",0.35,0.00064375,"Sexual Exploitation Of Children Offense Defined"
"obstruction/resisting","public order",0.3,0.00077525,"Hinder App/Prosec-Warn"
"other property offense, attempt","property",0.2,0.000392,"Criminal Attempt Fraudulent Use/Removal Of Reg Plate"
"taxation offense","public order",0.05,0.00077325,"Fail To Collect/Pay Pers Inc Tax"
"not known/missing","not known/missing",0.85,0.000522,"Inspection Of Motorcycle"
"public order offense, other","public order",0.2,0.00064975,"Off'l Oppression-Deny Rights/Prv"
"disorderly conduct offense","public order",0.15,0.00052,"Viol Sound Level"
"public order offense, other, conspiracy","public order",0.8,0.00142325,"Criminal Conspiracy Engaging Deal In Proc Unl Act/Intent To Promote"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 55 MPH In Other Loc By 62 MPH"
"other property offense","property",0.75,0.00038625,"Control Of Property Regulations"
"public order offense, other","public order",0.6,0.00052175,"Unlaw Acts/Viol Rule Or Reg Of Commission"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Unlawful Operate Snow/Atv At Unsafe Speed"
"obstruction/resisting","violent",0.15,0.00064675,"Intimidates or intends to intimidate person from providing or withholding information"
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed Max Speed Lim Estb By 38 MPH"
"traffic offense, minor","criminal traffic",0.05,0.00039175,"Permitting violation of title Driving W/O A License"
"traffic offense, minor","criminal traffic",0.1,0.00039125,"Permitting violation of title Careless Driving"
"traffic offense, minor","criminal traffic",0.6,0.00090325,"Permitting violation of title Reckless Driving"
"driving under the influence of drugs","dui offense",0.05,0.000532,"Permitting violation of title Permitting Violation--DUI: Controlled Substance-Schedule 2 or 3--2nd Offense"
"forgery/fraud","property",0.8,0.00051825,"Assigning Blank Cert"
"traffic offense, minor","criminal traffic",0.05,0.00039125,"Improper Exit/Enter Limited Access Highway"
"driving under the influence of alcohol","dui offense",0.05,0.0005295,"DUI: Incapable of Safely Operating Vehicle - 2nd Offense"
"traffic offense, minor","criminal traffic",0.1,0.0003905,"Viol Size/Weight Limits"
"traffic offense, minor","criminal traffic",0.5,0.000776,"Exceed 35 MPH In Urban Dist 32 MPH"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 25 MPH Residence Dist. By 20 MPH"
"traffic offense, minor","criminal traffic",0.05,0.000264,"Exceed Max Speed Lim Estb By 34 MPH"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 55 MPH In Other Loc By 38 MPH"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 55 MPH In Other Loc By 16 MPH"
"vehicular manslaughter","criminal traffic",0.1,0.0010335,"Homicide Veh Wh Op Watercraft Influ"
"vehicular manslaughter","criminal traffic",0.4,0.00064875,"Homicide By Watercraft"
"driving under the influence of drugs","dui offense",0.05,0.0004035,"Operating Watercraft With Any Amount of Schedule I, II, III or Metabolite in System - 1st Offense"
"driving under the influence of drugs","dui offense",0.1,0.00053,"Operating Watercraft With Any Amount of Schedule II or III in System - 1st Offense"
"driving while intoxicated","dui offense",0.05,0.00103775,"Operating Watercraft Under Combination of Alcohol and Drug or Different Drugs- 1st Offense"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Exceed 55 MPH In Other Loc By 6 MPH"
"burglary, conspiracy","property",0.05,0.0003925,"Criminal Conspiracy Engaging Crim Tres-Break Into Structure"
"criminal trespass","property",0.35,0.00038725,"Violation Of Rules On Comwlth Property"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Exceed 55 MPH In Other Loc By 12 MPH"
"driving under the influence of alcohol","dui offense",0.05,0.00068805,"DUI: High Rte of Alc (BAC .10 - <.16) 4th Off or Subsequent"
"traffic offense, minor","criminal traffic",0.03,0.000392,"Exceed Max Speed Lim Estb By 31 MPH"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Exceed 55 MPH In Other Loc By 32 MPH"
"driving under the influence of drugs, attempted","dui offense",0.05,0.0004055,"Criminal Attempt DUI: Controlled Substance - Metabolite - 1st Offense"
"armed robbery, conspiracy","violent",0.1,0.000647,"Conspiracy Robbery-Commit Threat 1st/2nd Deg Fel"
"theft, value unknown, conspiracy","property",0.4,0.0003955,"Conspiracy Theft Property Lost Etc By Mistake"
"traffic offense, minor","criminal traffic",0.05,0.0003905,"Move Vehicle Unsafely"
"criminal trespass, attempted","property",0.3,0.00064725,"Criminal Attempt Def Tres Actual Communication To"
"traffic offense, minor","criminal traffic",0.25,0.0009035,"Disobey Traf Cont Dev Lim Acce"
"forgery/fraud, attempted","property",0.05,0.0006505,"Criminal Attempt Bad Checks"
"taxation offense","property",0.1,0.00102675,"Poss Of Unstamped Cig"
"traffic offense, minor","criminal traffic",0.05,0.000648,"Exceed Max Speed Lim Estb By 37 MPH"
"conspiracy to commit murder","violent",0,0.000262,"Conspiracy Murder"
"criminal trespass, conspiracy","property",0.05,0.00039125,"Conspiracy Crim Tres-Enter Structure"
"traffic offense, minor","criminal traffic",0.1,0.00079625,"Exceed 55 MPH In Other Loc By 43 MPH"
"traffic offense, minor","criminal traffic",0.7,0.0009035,"Imp Use Learn Perm Lic Not Seated Prop"
"not known/missing","not known/missing",0.95,0.0003945,"Regulation Bumper Req"
"traffic offense, minor","criminal traffic",0.1,0.0006465,"Pedestrian Fail To Yield"
"criminal trespass","property",0.1,0.000259,"Agricultural Trespasser Posted Land"
"rape","violent",0.05,0.00064075,"Invol. Deivate Sexual Intercourse - Serious Bodily Inj."
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 25 MPH Residence Dist. By 26 MPH"
"destruction of property","property",0.2,0.0005165,"Illegal Park Street Excavation"
"traffic offense, minor","criminal traffic",0.1,0.0005195,"Improp Use Of Learn Permit-Motorcycles"
"traffic offense, minor","criminal traffic",0.05,0.000392,"Exceed Max Speed Lim Estb By 29 MPH"
"kidnapping, conspiracy","violent",0.1,0.00052025,"Criminal Solicitation Kidnap To Inflict Inj/Terror"
"kidnapping, conspiracy","violent",0.35,0.00077625,"Criminal Solicitation Interference W/Custody Of Children"
"traffic offense, minor","criminal traffic",0.25,0.000648,"Exceed Max Speed Lim Estb By 57 MPH"
"forgery/fraud","property",0.1,0.00054755,"Defraud Secured Creditors"
"forgery/fraud, conspiracy","property",0.07,0.0002685,"Criminal Conspiracy Engaging Forgery - Unauthorized Act In Writing"
"traffic offense, minor","criminal traffic",0.05,0.00052,"Exceed Max Speed Lim Estb By 7 MPH"
"traffic offense, minor","criminal traffic",0.1,0.000649,"Exceed 65 OR 70 MPH For All Vehicles By 55 MPH"
"aggravated assault, conspiracy","violent",0.05,0.00039525,"Conspiracy Aggravated Assault - Attempts to cause or causes SBI to designated individuals"
"driving under the influence of drugs","dui offense",0.05,0.0005295,"DUI: Controlled Substance - Schedule I - 4th and Subsequent Offense"
"driving under the influence of drugs","dui offense",0.05,0.00052975,"DUI: Controlled Substance - Impaired Ability - 4th & Subsequent Offense"
"driving while intoxicated","dui offense",0.1,0.000524,"Unlawful Operate Snow/Atv Under Influence"
"traffic offense, minor","criminal traffic",0.05,0.00064775,"Snowmobile/Atv Liability Ins. Req."
"traffic offense, minor","criminal traffic",0.1,0.00052,"Unlawful Operation - Reg. Decal Or Plate"
"driving under the influence of alcohol","dui offense",0.05,0.00091425,"DUI: Gen Imp (BAC .08 - .10) 4th Off & Subsequent"
"driving while intoxicated","dui offense",0.05,0.00039575,"DUI: Minor - 2nd Offense"
"traffic offense, minor","criminal traffic",0.6,0.001159,"Criminal Attempt Veh Reg Suspended"
"other property offense","property",0.25,0.000643,"Trademark Counterfeiting - Transports"
"forgery/fraud, conspiracy","property",0.08,0.0005245,"Conspiracy Receives Advance Payment For Services and Fails to Perform"
"traffic offense, minor","criminal traffic",0.2,0.000519,"Illegal Park Public/Private Driveway"
"driving under the influence of alcohol","dui offense",0,0.0006575,"DUI: Gen Imp (BAC .08 - .10) 2nd Off"
"traffic offense, minor","criminal traffic",0.15,0.00051925,"Violate Rules/Regs Motor Vehicle Code"
"public order offense, other","public order",0.1,0.00039275,"Use Of Skateboards Prohibited"
"not known/missing","not known/missing",0.9,0.000266,"Operation On Shoulder"
"forgery/fraud, conspiracy","property",0.1,0.0003975,"Criminal Conspiracy Aiding Access Device Is Counterfeit, Altered, Incomplete"
"forgery/fraud, conspiracy","property",0.12,0.0006535,"Criminal Conspiracy Aiding Access Device Used To Obt Or Att Obt Prop/Service"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Exceed 35 MPH In Urban Dist By 14 MPH"
"traffic offense, minor","criminal traffic",0.05,0.00039225,"Exceed 25 MPH Residence Dist. By 30 MPH"
"driving while intoxicated","dui offense",0.05,0.00132205,"DUI: Controlled Substance - Combination Alcohol/Drug - 3rd Offense"
"driving while intoxicated","dui offense",0.05,0.0003985,"DUI: High Rte of Alc (BAC .10 - <.16) 3rd Off"
"forgery/fraud","property",0.15,0.0006475,"Furnish False/Fraudulent Material Info"
"traffic offense, minor","criminal traffic",0.05,0.00052025,"Exceed 25 MPH Residence Dist. By 16 MPH"
"traffic offense, minor","criminal traffic",0.05,0.000648,"Exceed Max Speed Lim Estb By 44 MPH"
