"offense_category","offense_type","harm_level","harm_type","harm_score","action_type","uncertainty_score","description"
"driving under the influence of drugs","dui offense","community","community safety",0.9,"occured",0.05,"DUI: Controlled Substance - Impaired Ability - 4th & Subsequent Offense"
"driving under the influence of drugs","dui offense","community","community safety",0.8,"occured",0.1,"Unlawful Operate Snow/Atv Under Influence"
"public order offense, other","public order","community","community safety",0.2,"occured",0.3,"Snowmobile/Atv Liability Ins. Req."
"traffic offense, minor","criminal traffic","societal","community safety",0.1,"occured",0.05,"Unlawful Operation - Reg. Decal Or Plate"
"driving under the influence of alcohol","dui offense","individual","community safety",0.7,"occured",0.05,"DUI: Gen Imp (BAC .08 - .10) 4th Off & Subsequent"
"driving under the influence of alcohol","dui offense","community","community safety",0.8,"occured",0.1,"DUI: Minor - 2nd Offense"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"attempted",0.2,"Criminal Attempt Veh Reg Suspended"
"other property offense","property","societal","financial or economic",0.6,"occured",0.2,"Trademark Counterfeiting - Transports"
"forgery/fraud, conspiracy","property","individual","financial or economic",0.9,"conspiracy",0.1,"Conspiracy Receives Advance Payment For Services and Fails to Perform"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Illegal Park Public/Private Driveway"
"driving while intoxicated","dui offense","community","community safety",0.8,"occured",0.05,"DUI: Gen Imp (BAC .08 - .10) 2nd Off"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Violate Rules/Regs Motor Vehicle Code"
"public order offense, other","public order","community","community safety",0.1,"occured",0.2,"Use Of Skateboards Prohibited"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.3,"Operation On Shoulder"
"forgery/fraud, conspiracy","property","societal","financial or economic",0.7,"conspiracy",0.1,"Criminal Conspiracy Aiding Access Device Is Counterfeit, Altered, Incomplete"
"forgery/fraud, conspiracy","property","individual","financial or economic",0.9,"conspiracy",0.1,"Criminal Conspiracy Aiding Access Device Used To Obt Or Att Obt Prop/Service"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Exceed 35 MPH In Urban Dist By 14 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.05,"Exceed 25 MPH Residence Dist. By 30 MPH"
"driving under the influence of drugs","dui offense","community","community safety",0.9,"occured",0.05,"DUI: Controlled Substance - Combination Alcohol/Drug - 3rd Offense"
"driving under the influence of alcohol","dui offense","individual","community safety",0.8,"occured",0.05,"DUI: High Rte of Alc (BAC .10 - <.16) 3rd Off"
"forgery/fraud","property","individual","financial or economic",0.7,"occured",0.15,"Furnish False/Fraudulent Material Info"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Exceed 25 MPH Residence Dist. By 16 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.4,"occured",0.1,"Exceed Max Speed Lim Estb By 44 MPH"
"driving under the influence of alcohol","dui offense","community","community safety",0.6,"occured",0.2,"Ill Oper Veh w/o Ig Int (BAC .025+) 2nd Off"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Exceed Max Speed Lim Estb By 8 MPH"
"contempt of court/violate court order","public order","institutional","community safety",0.4,"occured",0.3,"Non Resid Fail Comply W Re Rqrmts"
"traffic offense, minor","criminal traffic","community","community safety",0.4,"occured",0.05,"Exceed 35 MPH In Urban Dist By 17 MPH"
"theft, value unknown, attempted","property","individual","financial or economic",0.6,"attempted",0.2,"Criminal Attempt Theft By Deception-Fail To Correct"
"public order offense, other","public order","community","community safety",0.2,"occured",0.1,"Transient Retail Merchant - License Required"
"public order offense, other","public order","community","community safety",0.1,"occured",0.2,"Fail to Post a Sign as Required"
"driving under the influence of alcohol","dui offense","community","community safety",0.6,"occured",0.1,"Ill Oper Veh w/o Ig Int (BAC .025+) 3rd Off"
"other property offense","property","community","community safety",0.2,"occured",0.2,"Fail To Report Recovered Auto"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.05,"Exceed Max Speed Lim Estb By 36 MPH"
"public order offense, other","public order","community","community safety",0.1,"occured",0.05,"Fail Lic A Dog Over 3 Months of Age"
"public order offense, other","public order","community","community safety",0.1,"occured",0.15,"Unlicensed Dogs"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Exceed 35 MPH In Urban Dist 22 MPH"
"other court offense","public order","institutional","financial or economic",0.2,"occured",0.5,"Req'd Financial Resp/Consent To Produce"
"driving under the influence of drugs","dui offense","community","community safety",0.7,"occured",0.1,"DUI: Controlled Substance - Schedule 2 or 3 - 4th and Subsequent Offense"
"driving under the influence of drugs","dui offense","individual","community safety",0.7,"occured",0.1,"DUI: Controlled Substance - Metabolite - 4th and Subsequent Offense"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.15,"Exceed Max Speed Lim Estb By 40 MPH"
"public order offense, other","public order","societal","community safety",0.6,"occured",0.25,"Corrupt Org-Int/Control In Enterp"
"invasion of privacy","public order","individual","privacy",0.7,"occured",0.25,"Use device to record, read, obtain, etc. encoded information on a device"
"attempted murder","violent","individual","physical",1,"attempted",0.05,"Criminal Attempt First Degree Murder Of Unborn Child"
"liquor law violation","public order","community","community safety",0.2,"occured",0.1,"Restriction On Alcoholic Beverages"
"other drug offense","drug","societal","community safety",0.2,"occured",0.3,"Contraband/Non-Controlled Substan"
"offense against morals/decency","public order","community","community safety",0.1,"occured",0.2,"Use Of Tobacco In Schools Prohibited"
"traffic offense, minor","criminal traffic","community","community safety",0.6,"occured",0.2,"Exceed 55 MPH In Other Loc By 50 MPH"
"commercialized vice","public order","community","community safety",0.5,"occured",0.2,"Criminal Solicitation Prom Pros-Procure Patron"
"commercialized vice, conspiracy","public order","community","community safety",0.6,"conspiracy",0.3,"Conspiracy Prom Pros-Procure Patron"
"forgery/fraud","property","individual","financial or economic",0.8,"occured",0.2,"Knowingly by trick/fraud/manipulation win or reduce a loss"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Traffic And Pedestrian - Control Signals"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Exceed 65 OR 70 MPH For All Vehicles By 10 MPH"
"forgery/fraud","property","individual","financial or economic",0.85,"occured",0.2,"Unlawful to Take/Claim/Manipulate w/intent to Defraud/Cheat"
"possession/use of marijuana, attempted","drug","individual","community safety",0.1,"attempted",0.05,"Criminal Attempt Marijuana-Small Amt Personal Use"
"criminal trespass","public order","individual","privacy",0.6,"occured",0.1,"Agricultural Trespasser When Ordered Not To Enter"
"burglary","property","individual","financial or economic",0.8,"occured",0.05,"Burglary"
"driving under the influence of drugs, attempted","dui offense","individual","community safety",0.7,"attempted",0.1,"Criminal Attempt DUI: Controlled Substance - Impaired Ability - 1st Offense"
"aggravated assault","violent","individual","physical",0.8,"occured",0.1,"Assault On Sports Official"
"sexual assault, conspiracy","violent","individual","emotional or psychological",0.8,"conspiracy",0.1,"Criminal Solicitation Unlawful Contact With Minor - Sexual Offenses"
"offense against morals/decency","public order","individual","emotional or psychological",0.95,"occured",0.1,"Criminal Solicitation Child Pornography"
"aggravated assault","violent","individual","physical",0.95,"occured",0.05,"Aggravated Assault - Attempts to cause or causes BI - School"
"rape","violent","individual","physical",1,"occured",0,"Rape Person Less Than 13 Years Old"
"child molestation","violent","individual","emotional or psychological",1,"occured",0.05,"IDSI Person Less Than 13 Yrs Age"
"offense against morals/decency","public order","individual","emotional or psychological",0.85,"occured",0.1,"Produce/Present/Direct Obscene Performance - Minor"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Exceed 65 OR 70 MPH For All Vehicles By 6 MPH"
"simple assault, attempted","violent","individual","physical",0.6,"attempted",0.1,"Criminal Attempt Simple Assault"
"violent offense other, attempted","violent","individual","physical",0.8,"attempted",0.2,"Criminal Attempt Aiding Suicide"
"liquor law violation","public order","community","community safety",0.2,"occured",0.05,"Transp Of Malt Or Brewed Beverage"
"traffic offense, minor","criminal traffic","individual","community safety",0.3,"occured",0.05,"Exceed 65 OR 70 MPH For All Vehicles By 15 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Exceed 25 MPH Residence Dist By 11 MPH"
"possession/use of marijuana","drug","individual","emotional or psychological",0.1,"occured",0.1,"Personal Use of Small Amount of Marijuana"
"disorderly conduct offense, conspiracy","public order","community","community safety",0.6,"conspiracy",0.3,"Criminal Conspiracy Engaging Disorderly Conduct Hazardous/Physi Off"
"disorderly conduct offense, attempted","public order","community","community safety",0.5,"attempted",0.2,"Criminal Attempt Disorderly Conduct Hazardous/Physi Off"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.2,"Permitting violation of title Improp Use Of Learner's Permit"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.05,"Exceed 35 MPH In Urban Dist By 18 MPH"
"public order offense, other","public order","societal","community safety",0.2,"occured",0.35,"Fail To Display Cert Inspect"
"traffic offense, minor","public order","community","community safety",0.1,"occured",0.1,"Unlawfl To Leave Keys In Unattended Vehicle"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Make Prohib Turn"
"public order offense, other","public order","community","community safety",0.2,"occured",0.6,"Parks and Recreation Violation"
"public order offense, other","public order","community","community safety",0.1,"occured",0.2,"No Vehicle in any Parks Except Between Sunrise and Curfew"
"driving while intoxicated","dui offense","community","community safety",0.7,"occured",0.2,"Permitting violation of title Driving While BAC .02 or Greater While License Susp"
"disorderly conduct offense, conspiracy","public order","community","community safety",0.3,"conspiracy",0.2,"Criminal Conspiracy Engaging Disorderly Conduct-Unreasonable Noise"
"disorderly conduct offense","public order","community","community safety",0.2,"occured",0.1,"Disorderly Conduct / Grading"
"violent offense, other","violent","individual","physical",0.6,"occured",0.45,"Dog Bites/Confine and Isolation"
"weapons offense, conspiracy","public order","community","community safety",0.6,"conspiracy",0.2,"Conspiracy Posses Firearm W/Manufacturer Number Altered, Etc"
"contributing to the delinquency of a minor, conspiracy","public order","individual","emotional or psychological",0.7,"conspiracy",0.3,"Criminal Conspiracy Engaging Corruption Of Minors"
"sexual assault","violent","individual","emotional or psychological",1,"occured",0.05,"Aggrav Indec Asslt/Person Less 13 Yrs Age"
"child molestation","violent","individual","emotional or psychological",0.95,"occured",0.05,"Photograph/Film/Depict On Computer Sex Act-Child"
"offense against morals/decency","public order","individual","emotional or psychological",1,"occured",0,"Possession of Child Pornography"
"offense against morals/decency","public order","community","emotional or psychological",0.4,"occured",0.2,"Produce\Present\Direct Obscene Perf"
"not known/missing","not known/missing","individual","community safety",0,"occured",1,"Unknown Statute"
"bribery/conflict of interest","public order","institutional","financial or economic",0.7,"occured",0.1,"Bribery - Pecuniary Benefit"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.05,"Exceed Max Speed Lim Estb By 33 MPH"
"murder","violent","individual","physical",1,"occured",0,"Murder Of The Third Degree"
"not known/missing","not known/missing","individual","emotional or psychological",0,"conspiracy",1,"Conspiracy Conspiracy"
"voluntary manslaughter","violent","individual","physical",1,"occured",0.1,"Voluntary Mans - Unreasonable Belief"
"disorderly conduct offense","public order","community","community safety",0.4,"occured",0.3,"UNLAWFUL TO LOITER/PROWL MALICIOUSLY IN PUB PLACE"
"liquor law violation","public order","community","community safety",0.2,"occured",0.05,"UNLAWFL TO TRANS/POSSESS OPEN CONTAINER ALCOHOL"
"driving under the influence of drugs","dui offense","community","community safety",0.7,"occured",0.1,"DUI Controlled Substance - Metabolite - 4th and Subsequent Offense"
"weapons offense","public order","community","community safety",0.7,"occured",0.1,"Person Not To Possess/Use Firearms - Delinquent"
"contempt of court/violate court order","public order","institutional","community safety",0.4,"occured",0.2,"Fail to Comply with Counseling - Another Jurisdiction"
"not known/missing","not known/missing","societal","community safety",0,"occured",1,"Provide Accurate Information"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.15,"Exceed 55 In Other Loc By 56 MPH"
"drug paraphernalia","drug","individual","emotional or psychological",0.3,"occured",0.1,"Use or Intent to Use Drug Paraphernalia"
"murder","violent","individual","physical",1,"occured",0,"Murder"
"public order offense, other","public order","community","community safety",0.1,"occured",0.4,"LOITER/PROWL IN  PUBLIC W INTENT; CONTROLLED SUBST"
"armed robbery, conspiracy","violent","individual","physical",1,"conspiracy",0.1,"Criminal Conspiracy Engaging Robbery-Inflict Serious Bodily Injury"
"child molestation","violent","individual","emotional or psychological",0.9,"occured",0.1,"Unlawful Contact With Minor - Open Lewdness"
"disorderly conduct offense","public order","community","community safety",0.2,"occured",0.15,"Noise Disturbance"
"petty theft (=<$500), conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.15,"Conspiracy Retail Theft-Under-Ring"
"aggravated assault, attempted","violent","individual","physical",0.8,"attempted",0,"Criminal Attempt Aggravated assault by vehicle"
"financial crimes conspiracy","public order","institutional","financial or economic",0.6,"conspiracy",0.15,"Conspiracy Buying/Exchanging Federal Food Stamps"
"weapons offense","public order","community","community safety",0.6,"occured",0.2,"Firearm Discharge Prohibited"
"disorderly conduct offense","public order","community","community safety",0.2,"occured",0.1,"Public Urination Or Defecation"
"weapons offense","public order","community","community safety",0.6,"occured",0.1,"Person Not To Possess Use Etc Firearm"
"liquor law violation","public order","community","community safety",0.2,"occured",0.1,"Unlic Cons Malt/Brewed Bev On Premises"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Improp Movement Pedistrian (Yellow Light)"
"conspiracy to commit murder","violent","individual","physical",0.8,"conspiracy",0.9,"Criminal Attempt Conspiracy"
"not known/missing","not known/missing","community","community safety",0.2,"occured",0.7,"Duty of Seller - Obtained a Completed Application or Record of Sale"
"destruction of property","property","community","financial or economic",0.6,"occured",0.7,"Rig Pub Ex - Temper Amim Thing"
"public order offense, other","public order","community","community safety",0.1,"occured",0.3,"Transient Retial Business/Permit- License Required"
"other property offense, conspiracy","property","individual","financial or economic",0.5,"conspiracy",0.2,"Criminal Conspiracy Aiding Retail Theft-Under-Ring"
"driving under the influence of drugs","dui offense","community","community safety",0.7,"occured",0.1,"DUI: Controlled Substance or Metabolite 4th and Subsequent Offense"
"statutory rape, attempted","violent","individual","emotional or psychological",0.9,"attempted",0.05,"Criminal Attempt Statutory Sexual Assault:  8-11 Years Older"
"statutory rape, conspiracy","violent","individual","emotional or psychological",0.9,"conspiracy",0.15,"Criminal Solicitation Statutory Sexual Assault:  8-11 Years Older"
"public order offense, other","public order","societal","community safety",0.2,"occured",0.7,"Prohibited Acts"
"child abuse","violent","individual","physical",0.8,"occured",0.1,"Leaving Child Unattended In Vehicle"
"attempted murder","violent","individual","physical",1,"attempted",0.1,"Criminal Attempt Murder"
"weapons offense","public order","community","community safety",0.5,"occured",0.2,"Discharge of Guns Restricted"
"disorderly conduct offense","public order","community","community safety",0.2,"occured",0.2,"PROHBTD CONDCT; UNREASONABLE NOISE/LEWD LANGUAGE"
"forgery/fraud, conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.15,"Conspiracy Theft By Decept-Prevent Acqu Of Info"
"offense against morals/decency","public order","societal","emotional or psychological",0.5,"occured",0.7,"Adult/Muti/Dest Label"
"aggravated assault, conspiracy","violent","individual","physical",0.9,"conspiracy",0.2,"Criminal Solicitation Agg. Ind. Assault - Comp. Less Than 16"
"aggravated assault, conspiracy","violent","individual","physical",0.8,"conspiracy",0.15,"Criminal Solicitation Ind Asslt Person Less 16 Yrs Age"
"distribution of prescription drugs, attempted","public order","individual","emotional or psychological",0.8,"attempted",0.3,"Criminal Attempt Diss Explicit Sex Mat'l Minor"
"arson","violent","individual","physical",1,"occured",0.05,"Aggravated Arson - Person Present Inside Property"
"weapons offense","public order","community","community safety",0.8,"occured",0.1,"Person Not To Possess Use Etc Firearms"
"aggravated assault, attempted","violent","individual","physical",0.8,"attempted",0.1,"Criminal Attempt Ind Asslt Person Less 16 Yrs Age"
"grand theft (>$500)","property","individual","financial or economic",0.8,"occured",0.2,"Retail Theft-Trans Mdse Fr Cont"
"driving under the influence of alcohol","dui offense","community","community safety",0.7,"occured",0.1,"Operating Watercraft With Highest Rate of Alcohol - 2nd Offense"
"driving while intoxicated","dui offense","community","community safety",0.7,"occured",0.05,"Operating Watercraft With High Rate of Alcohol - 2nd Offense"
"obstruction/resisting, attempted","public order","community","community safety",0.4,"attempted",0.2,"Flees in an attempt to evade a Police Officer"
"public order offense, other","public order","community","community safety",0.2,"occured",0.5,"PARK OPERATING POLICY"
"traffic offense, minor","criminal traffic","individual","community safety",0.3,"occured",0.3,"Failure To Control/Duty"
"liquor law violation","public order","community","community safety",0.1,"occured",0.05,"POSSESSION OF AN OPEN CONTAINER"
"voluntary manslaughter","violent","individual","physical",1,"occured",0.05,"Voluntary Mans - Provocation From Other"
"disorderly conduct offense","public order","community","community safety",0.2,"occured",0.1,"PUBLIC URINATION OR DEFICATION"
"distribution, drug unspecified, conspiracy","drug","community","community safety",0.6,"conspiracy",0.2,"Conspiracy Contraband/Controlled Substance"
"weapons offense","public order","community","community safety",0.7,"occured",0.1,"Unlawful to Fire any Weapon within City Limits"
"driving under the influence of drugs","dui offense","individual","community safety",0.8,"occured",0.1,"DUI: Solvent or Nox Substance - 2nd Offense"
"kidnapping","violent","individual","physical",1,"occured",0,"Kidnapping of Minor - Inflict Bodily Injury"
"riot","public order","community","community safety",0.5,"occured",0.2,"Riot-Intent To Prev/Coerce Off'l Act"
"offense against morals/decency, attempted","public order","individual","emotional or psychological",0.8,"attempted",0.15,"Criminal Attempt Photograph/Film/Depict on Computer Sex Act - Knowingly Depicts on Computer, Photo, etc"
"kidnapping","violent","individual","emotional or psychological",1,"occured",0.1,"Kidnapping of Minor - Interfere with Public Official"
"public order offense, other","public order","institutional","community safety",0.5,"occured",0.2,"FALSE POLICE REPORTS"
"liquor law violation","public order","community","community safety",0.2,"occured",0.05,"Unlawfl Consume/Poss Open Cont Alcohl On Priv Prop"
"public order offense, other","public order","community","community safety",0.2,"occured",0.15,"Patronizing An Unlicensed Establishment"
"disorderly conduct offense","public order","community","community safety",0.1,"occured",0.3,"Noise Disturbance Prohibited"
"drug paraphernalia, attempted","drug","individual","community safety",0.2,"attempted",0.1,"Criminal Attempt Use/Poss Of Drug Paraph"
"criminal trespass","public order","community","community safety",0.4,"occured",0.2,"No One To Enter Closed To The Public Area"
"possession/use of marijuana, conspiracy","drug","individual","community safety",0.2,"conspiracy",0.1,"Conspiracy Poss Of Marijuana"
"flight to avoid prosecution","public order","community","community safety",0.7,"occured",0.1,"Fleeing to Evade Police"
"invasion of privacy","public order","community","privacy",0.4,"occured",0.1,"Unlawful Use Recording Device In Theater"
"extortion/threat","violent","individual","emotional or psychological",0.8,"occured",0.2,"Theft Extort-Inflict Harm Not Benefit Actor"
"arson","property","community","community safety",0.8,"occured",0.1,"Reckless Burning or Exploding - places uninhabited or unoccupied structure in danger of damage or de"
"public order offense, other","public order","community","community safety",0.1,"occured",0.2,"Owner Of Animal To Keep It Leashed At All Times"
"weapons offense","public order","community","community safety",0.8,"occured",0.1,"Person Not To Possess/Use Firearms - Pfa Party"
"burglary, conspiracy","property","individual","community safety",0.7,"conspiracy",0.1,"Conspiracy Burglary - Overnight Accommodation, Person Present"
"possession/use of other controlled substance","drug","societal","community safety",0.6,"occured",0.2,"Purc/Rec Of Cont Substby Unauth Per"
"not known/missing","not known/missing","individual","financial or economic",0.1,"occured",0.9,"Occupational Limited License"
"violent offense, other","violent","community","community safety",0.7,"occured",0.3,"Create Hazardous/Physical Offense For No Purpose"
"driving under the influence of alcohol, attempted","dui offense","individual","community safety",0.6,"attempted",0.15,"Criminal Attempt DUI: High Rte of Alc (Bac.10 - <.16) 1st Off"
"simple assault, conspiracy","violent","individual","emotional or psychological",0.6,"conspiracy",0.1,"Criminal Solicitation Simple Assault"
"possession of property crime tools","drug","community","community safety",0.7,"occured",0.2,"Poss Red Phos, etc w/ Intent to Manu Cont Subs"
"possession/use of other controlled substance","drug","individual","physical",0.3,"occured",0.1,"Knowingly possess ephedrine"
"distribution other controlled substances, conspiracy","drug","community","community safety",0.8,"conspiracy",0.2,"Conspiracy Poss Red Phos, etc w/ Intent to Manu Cont Subs"
"distribution of amphetamines, conspiracy","drug","community","community safety",0.8,"conspiracy",0.2,"Conspiracy Operating a methamphetamine lab"
"possession of amphetamines, conspiracy","drug","community","community safety",0.5,"conspiracy",0.18,"Conspiracy Knowingly possess ephedrine"
"other property offense, conspiracy","property","community","community safety",0.8,"conspiracy",0.2,"Conspiracy Deposits, stores, disposes chemical waste"
"traffic offense, minor","criminal traffic","community","community safety",0.8,"occured",0.15,"Exceed 55 MPH In Other Location By 100 MPH"
"armed robbery, conspiracy","violent","individual","emotional or psychological",0.9,"conspiracy",0.05,"Conspiracy Robbery - demand money from financial institution"
"family or custody related offense","public order","individual","emotional or psychological",0.5,"occured",0.3,"Interfer Custody Committed Person"
"drug paraphernalia, conspiracy","drug","community","community safety",0.4,"conspiracy",0.2,"Conspiracy Deliver/Intent To Del Drug Para"
"other property offense","property","community","community safety",0.7,"occured",0.1,"Owning, Operating or Conducting a Chop Shop"
"other court offense","public order","institutional","community safety",0.2,"occured",0.3,"Display Foreign Lic During Suspen/Revocation"
"theft, value unknown, conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.1,"Conspiracy Retail Theft Destroy, Etc Inventory Control Tag"
"public order offense, other","public order","community","community safety",0.2,"occured",0.05,"LITTERING"
"public order offense, other","public order","community","community safety",0.2,"occured",0.1,"PATRONIZING AN UNLICENSED ESTABLISHMENT"
"public order offense, other","public order","community","community safety",0.1,"occured",0.5,"Radon/Certification Required"
"grand theft (>$500)","property","individual","financial or economic",0.85,"occured",0.1,"Organized retail theft"
"offense against morals/decency","violent","individual","physical",0.8,"occured",0.1,"Cruelty To Animals"
"disorderly conduct offense","public order","community","community safety",0.2,"occured",0.1,"Loud,Dist,Unnecessary Noise"
"weapons offense","public order","community","community safety",0.7,"occured",0.2,"Carry Firearms Public In Phila"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.1,"Exceed 65 OR 70 MPH For All Vehicles By 18 MPH"
"other court offense, conspiracy","public order","institutional","community safety",0.5,"conspiracy",0.2,"Conspiracy False Reports - Reported Offense Did Not Occur"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Exceed 25 MPH Residence Dist. By 1 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Exceed 35 MPH In Urban Dist By 19 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Disregard Traffic Devices"
"aggravated assault, conspiracy","violent","individual","physical",1,"conspiracy",0.05,"Conspiracy Aggravated Assault"
"distribution, drug unspecified, conspiracy","drug","individual","physical",1,"conspiracy",0.1,"Conspiracy Drug Delivery Resulting In Death"
"family or custody related offense","public order","community","community safety",0.2,"occured",0.3,"PROHIBITED CONDUCT OWNR; MINOR IN ESTAB PAST CURFEW"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Exceed 35 MPH In Urban Dist 35 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.1,"Trucks Over 10,000 Lbs Prohibited In Left Lane"
"driving while intoxicated","dui offense","community","community safety",0.6,"occured",0.45,"Period Of Revoc/Suspension Of Operating Privilege"
"weapons offense","public order","community","community safety",0.7,"occured",0.2,"Loans On, Or Lending, Giving Firearms Prohibited"
"traffic offense, minor","public order","community","community safety",0.2,"occured",0.1,"Improp Use Of Learner's Permit"
"drug paraphernalia","drug","community","community safety",0.2,"occured",0.1,"No Person Shall Possess, Sell Any Drug Paraphernalia"
"weapons offense, conspiracy","public order","community","community safety",0.9,"conspiracy",0.05,"Conspiracy Possess Explosive/Incen Material"
"public order offense, other, conspiracy","public order","community","community safety",0.7,"conspiracy",0.4,"Conspiracy Risking Catastrophe"
"public order offense, other","public order","community","community safety",0.3,"occured",0.4,"Refuse To Move-Maintain Pub Saf"
"liquor law violation","public order","individual","community safety",0.2,"occured",0.1,"Illegal for Minor to Consume Unregulated Alcohol"
"obstruction/resisting","public order","community","community safety",0.2,"occured",0.2,"Obstruct/Impede Justice-Picketing"
"contempt of court/violate court order","public order","institutional","community safety",0.7,"occured",0.2,"False Swearing - Offic Proceed"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Exceed 35 MPH In Urban Dist 29 MPH"
"traffic offense, minor","criminal traffic","individual","community safety",0.35,"occured",0.1,"Exceed 65 OR 70 MPH For All Vehicles By 17 MPH"
"other property offense","property","societal","financial or economic",0.6,"occured",0.1,"Trademark Counterfeiting - Offers for Sale"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.2,"No Rearview Mirror"
"public order offense, other","public order","community","community safety",0.2,"occured",0.1,"No Audible Device"
"weapons offense, conspiracy","public order","community","community safety",0.6,"conspiracy",0.15,"Conspiracy Possession Of Firearm By Minor"
"kidnapping, conspiracy","violent","individual","physical",0.9,"conspiracy",0.05,"Conspiracy Unlawful Restraint/ Serious Bodily Injury"
"obstruction/resisting, conspiracy","public order","institutional","community safety",0.6,"conspiracy",0.25,"Conspiracy Hinder App/Prosec-Harbor Or Conceal"
"offense against morals/decency","public order","individual","physical",0.6,"occured",0.1,"Tattooing Minor"
"forgery/fraud","property","institutional","financial or economic",0.6,"occured",0.4,"Counter Simulat Mark Stamp"
"distribution other controlled substances, attempted","drug","community","community safety",0.6,"attempted",0.25,"Criminal Attempt Sell Noncont Subs - Similar To Cont Subst"
"arson, attempted","property","community","community safety",0.6,"attempted",0.25,"Fail To Control/Rpt Dangerous Fire"
"fraudulent drug offense","drug","societal","community safety",0.6,"occured",0.2,"Unlawful Acts/Not Licensed As Pharmacist"
"public order offense, other","public order","societal","community safety",0.6,"occured",0.7,"Aiding Consummation Of Crime"
"fraudulent drug offense","drug","individual","financial or economic",0.7,"occured",0.2,"Place Mark Cont Subs W/Int To Defraud"
"burglary, conspiracy","property","individual","community safety",0.8,"conspiracy",0.1,"Criminal Solicitation Burglary - Overnight Accommodation, Person Present"
"public order offense, other","public order","institutional","financial or economic",0.2,"occured",0.3,"Transfer Of Registration"
"not known/missing","not known/missing","community","community safety",0,"occured",0.8,"Learner accompanied - supervising driver licensed in vehicle class"
"public order offense, other","public order","community","community safety",0.1,"occured",0.4,"Violation Of Rules On Cmwlth Property"
"burglary, attempted","property","individual","community safety",0.8,"attempted",0.1,"Criminal Attempt Burglary - Overnight Accommodation, Person Present"
"distribution of amphetamines","drug","individual","physical",0.95,"occured",0.1,"Manufacture of Methamphetamine - Child Present"
"obstruction/resisting","public order","institutional","community safety",0.6,"occured",0.1,"False Identification To Law Enf. Off."
"public order offense, other","public order","community","community safety",0.5,"occured",0.1,"Intentional Desecration Of Public Monument"
"criminal trespass, conspiracy","public order","community","community safety",0.25,"conspiracy",0.1,"Conspiracy Def Tres Posted"
"destruction of property, conspiracy","property","community","community safety",0.7,"conspiracy",0.1,"Conspiracy Institut'l Vand'ism Cemetery Etc"
"destruction of property","property","community","community safety",0.7,"occured",0.1,"Institut'l Vand'ism Cemetery Etc"
"other property offense, conspiracy","property","community","community safety",0.3,"conspiracy",0.6,"Conspiracy Historic Lots and Burial Places"
"not known/missing","not known/missing","community","community safety",0.1,"occured",0.95,"Historic Lots and Burial Places"
"public order offense, other, conspiracy","public order","community","community safety",0.4,"conspiracy",0.2,"Conspiracy Intentional Desecration Of Public Monument"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Exceed 35 MPH In Urban Dist By 15 MPH"
"traffic offense, minor","criminal traffic","individual","community safety",0.2,"occured",0.15,"No Foot Rest On Motorcycle"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Signal Improp Right Turn"
